,Date Event Began,state
0,2023-06-27,Idaho
1,2023-06-27,Montana
2,2023-06-27,Washington
3,2023-06-22,Louisiana
4,2023-06-20,Louisiana
5,2023-06-30,Connecticut
6,2017-04-20,Wyoming
7,2017-04-21,Kentucky
8,2023-06-27,California
9,2023-06-24,Michigan
10,2023-06-28,Georgia
11,2023-06-25,Tennessee
12,2023-06-25,Alabama
13,2023-06-25,Georgia
14,2023-06-25,Michigan
15,2023-06-25,Wisconsin
16,2023-06-25,Michigan
17,2023-06-25,Arkansas
18,2023-06-25,Mississippi
19,2023-06-29,Indiana
20,2022-02-26,Washington
21,2022-04-11,California
22,2022-04-12,Arkansas
23,2022-05-03,Louisiana
24,2022-05-21,Missouri
25,2022-05-25,California
26,2022-07-03,California
27,2022-07-05,Idaho
28,2022-07-05,Montana
29,2022-07-05,Oregon
30,2022-07-05,Washington
31,2022-07-06,Oklahoma
32,2022-07-12,Idaho
33,2022-07-12,Montana
34,2022-07-12,Oregon
35,2022-07-12,Washington
36,2022-07-15,Nebraska
37,2022-07-28,California
38,2022-08-01,California
39,2022-08-05,Washington
40,2022-08-19,Massachusetts
41,2021-04-12,Colorado
42,2021-05-28,California
43,2021-08-15,California
44,2021-08-30,Florida
45,2021-09-11,California
46,2021-09-11,Texas
47,2020-01-22,Nevada
48,2020-06-18,Colorado
49,2020-06-18,Kentucky
50,2020-07-08,Texas
51,2020-07-12,Nevada
52,2020-09-20,Oklahoma
53,2020-09-26,Nevada
54,2020-11-21,Nevada
55,2019-01-14,Michigan
56,2019-01-28,Utah
57,2019-03-25,Oregon
58,2019-04-01,Nevada
59,2019-09-30,Nevada
60,2019-11-29,Texas
61,2019-12-07,Oklahoma
62,2019-12-11,Oklahoma
63,2018-01-04,Texas
64,2018-05-08,Utah
65,2018-05-08,Washington
66,2018-12-07,Utah
67,2017-02-11,Utah
68,2017-07-18,Missouri
69,2017-10-04,Mississippi
70,2017-10-26,Montana
71,2017-12-12,New York
72,2011-09-07,Connecticut
73,2011-09-07,New York
74,2022-03-17,North Carolina
75,2022-05-12,Mississippi
76,2022-05-12,Mississippi
77,2022-06-10,Texas
78,2022-06-14,Washington
79,2022-11-11,Ohio
80,2022-11-18,Washington
81,2022-11-23,Washington
82,2022-11-25,California
83,2022-11-28,Oregon
84,2021-10-28,Texas
85,2023-02-21,Florida
86,2023-02-26,North Carolina
87,2023-03-06,Virginia
88,2023-03-23,Nevada
89,2023-04-03,Alabama
90,2023-04-17,South Carolina
91,2023-04-18,Texas
92,2023-05-02,Texas
93,2023-05-13,North Dakota
94,2023-05-13,North Dakota
95,2023-05-13,North Dakota
96,2023-05-28,Alabama
97,2023-05-30,Massachusetts
98,2016-07-02,Oregon
99,2016-08-20,New York
100,2016-09-21,Texas
101,2016-10-01,California
102,2016-10-31,North Carolina
103,2003-07-28,Arizona
104,2003-07-01,Arizona
105,2005-09-12,California
106,2010-05-18,California
107,2008-07-02,California
108,2007-10-22,California
109,2007-10-22,California
110,2007-10-22,California
111,2005-07-21,California
112,2005-07-22,California
113,2003-12-20,California
114,2005-08-25,California
115,2005-08-25,California
116,2011-02-09,Texas
117,2009-04-24,Louisiana
118,2016-02-07,New York
119,2016-04-12,Washington
120,2016-11-09,California
121,2022-01-18,Texas
122,2022-03-06,Texas
123,2022-03-31,Florida
124,2022-03-31,Montana
125,2022-08-19,Washington
126,2022-09-04,California
127,2022-09-07,Florida
128,2022-10-14,Texas
129,2022-10-24,Massachusetts
130,2022-11-23,District of Columbia
131,2022-11-23,Delaware
132,2022-11-23,Illinois
133,2022-11-23,Maryland
134,2022-11-23,New Jersey
135,2022-11-23,Pennsylvania
136,2021-01-23,Georgia
137,2021-02-16,California
138,2021-02-16,Colorado
139,2021-02-16,Illinois
140,2021-02-16,New Jersey
141,2021-02-16,Pennsylvania
142,2021-02-16,Texas
143,2021-02-19,Texas
144,2021-03-01,New York
145,2021-06-15,Texas
146,2021-07-30,Wisconsin
147,2021-11-21,Wisconsin
148,2020-12-14,Idaho
149,2020-12-14,Oregon
150,2020-12-14,District of Columbia
151,2020-12-14,Delaware
152,2020-12-14,Illinois
153,2020-12-14,Maryland
154,2020-12-14,New Jersey
155,2020-12-14,Pennsylvania
156,2020-12-20,California
157,2016-12-13,California
158,2023-02-21,Texas
159,2023-03-23,Washington
160,2023-04-14,Florida
161,2013-10-16,North Carolina
162,2003-01-25,Ohio
163,2008-08-09,New Mexico
164,2008-08-09,Texas
165,2007-08-14,Arkansas
166,2007-08-14,Louisiana
167,2007-08-14,Oklahoma
168,2007-08-14,Texas
169,2008-12-13,California
170,2019-08-15,California
171,2019-08-18,Texas
172,2019-09-29,California
173,2016-05-10,Texas
174,2013-01-17,North Carolina
175,2016-05-20,Louisiana
176,2014-12-11,California
177,2011-08-27,North Carolina
178,2003-12-22,California
179,2011-08-23,Virginia
180,2014-08-24,California
181,2010-06-06,California
182,2008-05-11,Indiana
183,2008-07-24,Maine
184,2011-01-11,New York
185,2007-07-06,Idaho
186,2007-07-06,Oregon
187,2014-11-14,Oregon
188,2010-06-17,Montana
189,2010-06-25,California
190,2007-09-17,Indiana
191,2008-02-09,California
192,2008-02-15,California
193,2008-06-15,Indiana
194,2008-09-30,California
195,2008-12-19,California
196,2009-06-05,California
197,2009-07-02,Maine
198,2009-08-29,South Dakota
199,2009-08-29,South Dakota
200,2010-11-06,California
201,2010-11-23,California
202,2010-12-03,California
203,2010-12-14,California
204,2010-09-01,California
205,2013-02-19,California
206,2013-04-23,California
207,2013-05-01,Colorado
208,2013-05-09,Washington
209,2013-06-18,Wyoming
210,2013-11-12,California
211,2011-02-24,Arkansas
212,2011-06-05,California
213,2011-08-08,Oklahoma
214,2012-02-28,California
215,2012-03-29,Michigan
216,2012-08-04,California
217,2012-10-14,California
218,2014-03-26,Montana
219,2014-09-14,Oregon
220,2014-09-19,Oregon
221,2013-08-29,Wisconsin
222,2007-09-18,Minnesota
223,2007-09-18,North Dakota
224,2007-09-18,South Dakota
225,2007-09-18,Wisconsin
226,2007-09-18,Michigan
227,2007-09-18,Minnesota
228,2007-09-18,North Dakota
229,2007-09-18,South Dakota
230,2007-09-18,Wisconsin
231,2007-09-18,Minnesota
232,2007-09-18,North Dakota
233,2008-06-21,California
234,2008-06-17,New Mexico
235,2008-06-17,Texas
236,2010-10-27,California
237,2013-06-28,California
238,2013-07-18,California
239,2008-12-10,Oregon
240,2008-02-01,California
241,2008-02-02,California
242,2011-04-20,Louisiana
243,2011-04-25,Tennessee
244,2011-04-28,Arizona
245,2013-02-08,District of Columbia
246,2013-02-08,Maryland
247,2008-01-29,California
248,2009-07-27,Tennessee
249,2004-08-04,California
250,2003-12-04,Michigan
251,2003-12-04,Wisconsin
252,2003-12-04,Michigan
253,2003-12-04,Wisconsin
254,2004-06-14,Arizona
255,2004-03-17,Texas
256,2002-07-20,New York
257,2008-06-09,New Jersey
258,2008-06-23,Indiana
259,2007-07-16,Utah
260,2008-12-02,Missouri
261,2004-07-06,Arizona
262,2004-07-06,Arizona
263,2010-06-01,Indiana
264,2010-09-22,California
265,2010-10-31,California
266,2011-01-13,Florida
267,2003-05-15,Michigan
268,2008-06-12,Iowa
269,2009-12-07,California
270,2005-07-01,Kansas
271,2005-07-01,New Mexico
272,2005-07-01,Oklahoma
273,2005-07-01,Texas
274,2006-02-16,North Dakota
275,2008-08-31,Louisiana
276,2022-05-06,Michigan
277,2022-05-18,New Mexico
278,2022-06-23,California
279,2022-06-24,Louisiana
280,2022-07-18,South Carolina
281,2021-02-11,Illinois
282,2021-02-11,Kansas
283,2021-02-12,Texas
284,2021-02-15,Oklahoma
285,2021-02-15,Oklahoma
286,2021-02-15,Louisiana
287,2021-02-15,Nebraska
288,2021-02-16,Texas
289,2021-02-17,Kansas
290,2021-04-22,California
291,2021-07-09,California
292,2020-01-24,California
293,2020-07-02,California
